id,number_of_rooms,corridor_area_ratio,largest_room_sunlight,largest_room_noise,largest_room_kitchen_distance,kitchen_sunlight,has_second_bathroom,bathroom_has_window,has_loggia,has_balcony
1000_4252_44d90bb0cdb02eae147e8d34cf57104c,3.0,0.0713436998625975,0.5678564287304456,42.3929266764916,2.0,1.9917978429132035,0,0,0,0
1000_4252_5259a564c2ef96a3290021fb92557cd6,4.0,0.061821242929384,0.4385302972426861,44.29900109984951,1.5,1.9005863443017008,1,1,0,1
1000_4252_eb644b4ef906fe73a528ee3cdddc4a13,1.0,0.2067158157454517,0.6020777559851851,46.957637461729206,3.25,2.1170826016200914,0,1,0,0
1000_4253_59c06ae74104bdfd8a90298d39a95a2c,3.0,0.0713436998625975,0.7438388122840136,42.43139295116455,2.0,2.2257228460576792,0,0,0,0
1000_4254_48d4e8d4ad2b7a5f83e1a006f36f61a3,3.0,0.0713436998625975,0.9415382701852248,42.3689068681478,2.0,2.402300084630649,0,0,0,0
1000_4254_c5704e7a592b728b045f84bf2748df79,4.0,0.061821242929384,0.8448878748240828,44.30294993927995,1.5,2.3654082367817555,1,1,0,1
1001_4255_38d3c8642ff2e673aad32c723f8901cd,1.0,0.2088244351992658,0.9897348764521254,46.140076661693,3.5,2.558958464198642,0,1,0,0
1001_4255_41d5ee83aacf2b2537b7c31e23909f9f,3.0,0.0716218561447087,0.4646140537259746,48.89464088163805,1.75,1.022080726093716,0,0,0,0
1001_4255_f8c4b2f2afdf1a12053eba748c228fa2,4.0,0.0625669592159355,0.4796599423690989,50.21692873295845,1.75,1.7489021105898743,1,1,0,1
1001_4256_55611fd2d5378734de20ceb8dcdad4ad,4.0,0.0625669592159355,0.583042618941772,50.22796630183795,1.75,1.998339446054564,1,1,0,1
1001_4256_79d9019737a3ca64ff4a708fbb514b91,1.0,0.2088244351992658,1.0807533514463756,46.17604186584832,3.5,2.624794350730048,0,1,0,0
1001_4257_5884a50da3b3b236142a961673e65f5e,3.0,0.0716218561447087,0.5085852525401099,48.891222214221145,1.75,1.930460371904903,0,0,0,0
1001_4257_e4c2c9bb1fa0f0c440af12e26a5006ea,4.0,0.0625669592159355,0.9246908482911504,50.21835125517805,1.75,3.074359999762641,1,1,0,1
1002_4258_2d61802170d5138d494bc0b960ac3e3a,5.0,0.0582703444269334,0.8887885175946488,54.7316824582252,1.75,2.421487992008528,1,1,0,0
1002_4258_3f8787a1b557dc7338b6d9ba3835b79e,5.0,0.0564410735265205,0.7952002491856723,56.77874711021545,1.75,2.408983980615933,1,1,0,0
